Country,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Nunavut,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
Maldives,18063301,6238552,8514232,0,6072,0,86445,0,0,1535189,812303,695884,174624,0
Saint Pierre-Miquelon,17565852,22350,220940,15722,1479980,1028449,5198187,0,282,1221943,27452,8326687,2875,20985
Togo,17266759,3813753,94547,2244128,23215,0,65851,0,0,3387463,824068,2328844,4484890,0
Surinam,17080587,365205,297945,72392,647645,0,233974,0,0,2279014,127,12501497,682788,0
Serbia,16789402,2839976,611871,68019,111684,0,124611,0,0,9552236,14020,3383984,83001,0
French Polynesia,15611177,1525,2343326,149500,36905,0,13311,0,0,1152828,0,11913782,0,0
Armenia,15128470,16633,2705799,132044,0,0,0,91131,0,10240080,46648,1378282,517853,0
Afghanistan,14465715,204836,4028097,83693,1001,0,0,0,0,7154285,1300193,1693610,0,0
Kyrgyzstan,14378373,71026,95957,154881,0,140830,7460,0,0,10524746,0,3135447,248026,0
Georgia,14023516,493748,1907134,188424,22492,410059,98721,0,0,6608005,123743,3357309,813881,0
Madagascar,13994586,3871989,2040984,0,1353411,0,0,0,0,4405701,0,2138800,183701,0
Turkmenistan,13807416,7829953,23718,820045,0,0,923429,0,0,2721995,0,1488276,0,0
Liberia,13688521,148697,4276049,4,71263,39274,31408,0,0,4042635,0,4643674,435517,0
,13553827,727996,168459,19203,472314,196428,874463,6418,0,4175790,901535,6303165,58800,0
New Caledonia,12683911,0,1116551,3765,312232,0,93968,0,0,7284894,524,3871977,0,0
Greenland,12155666,174290,742525,0,0,4670425,578086,10719,0,2837178,2662354,480089,0,0
Saint Kitts and Nevis,12080745,55,5284180,447399,74801,0,141558,0,0,4645680,262306,1222313,0,2453
Mali,12071351,1023650,3954917,44302,7600,0,0,0,0,5060734,0,1980148,0,0
Laos,11787032,2100,9861563,0,18075,0,0,0,0,593987,0,1311307,0,0
Mauritania,11319134,168771,1583236,47688,30015,0,3200,3900,0,7550292,0,1594966,337066,0
U.S. Minor Outlying Islands,11072590,68491,550469,32004,5054111,0,7800,7567,0,4245410,4548,653748,448442,0
Namibia,10948486,667590,3923922,112378,0,0,11636,0,0,4641897,0,1591063,0,0
Antigua and Barbuda,10928337,300467,457292,18111,238998,0,82545,1000,0,3146058,141151,6516362,26353,0
Brunei Darussalam,10631722,1480336,570211,34598,27281,0,4600,0,0,1601391,0,6908029,5276,0
Nepal,10255956,670712,307453,2817,543,0,0,0,0,907984,0,1562598,6803849,0
Guinea,10095977,937152,1925452,0,23900,19300,7500,0,0,1698448,0,5434131,50094,0
Aruba,9699140,217846,104329,1074,2894674,8479,79938,0,0,3693654,62119,2566954,70073,0
Cayman Islands,8902134,230402,156082,272,42653,849231,79462,61,1289,6622721,349787,570174,0,0
Saint Lucia,8897178,170624,216205,59616,482708,0,269822,5217,8275,2623986,754978,4300083,5664,0
Dominica,8765981,31156,267888,0,56652,0,228478,0,0,3818769,18508,4164197,180333,0
Tajikistan,8590029,41614,4797,0,0,0,11466,45192,0,6028994,0,2457966,0,0
Mongolia,7889624,427172,3037522,325514,0,0,0,0,0,2155618,0,961658,982140,0
Cambodia (Kampuchea),7503350,1210845,935676,13028,0,0,89609,0,0,3378940,0,1257990,617262,0
,6853310,727996,168459,19203,472314,196428,874463,6418,0,4175790,901535,6303165,58800,0
Sierra Leone,6776273,96973,2059883,138412,0,0,75212,0,0,4112207,0,261086,32500,0
Saint Vincent and the Grenadines,6766810,14954,149116,94595,94763,0,26301,0,0,2387515,98128,3811362,90076,0
Malawi,6643678,901671,309000,503787,0,0,0,0,0,3526176,0,405554,997490,0
Mauritius,6368820,41838,1477194,806869,236083,39852,0,0,0,1295397,0,1417209,1054378,0
Uzbekistan,5920983,4260463,42752,0,0,0,0,0,0,740917,0,876851,0,0
Macedonia,5725087,368476,222926,273609,7941,0,0,0,0,1934489,0,2736577,181069,0
Grenada,5312349,101734,64615,11143,51420,0,31667,2484,0,1326606,0,3663651,59029,0
Swaziland,5217500,58571,183486,10811,0,0,0,2000,0,4290922,0,650816,20894,0
Fiji,5069396,364957,2654900,749562,40528,0,0,0,0,305050,161891,345264,447244,0
Moldova,4533081,78722,74600,0,0,0,9437,0,0,1737990,30292,2160910,441130,0
Equatorial Guinea,4390415,83490,318577,10990,0,14258,207961,0,0,2604747,0,1150392,0,0
Zimbabwe,4287575,861738,461503,541881,0,0,0,0,0,1043121,0,293968,1085364,0
Bosnia-Hercegovina,3773593,65492,206368,148118,18364,0,16693,0,0,704527,0,2333103,280928,0
Niger,3521076,9374,30161,6031,0,0,0,0,0,1827427,0,1535526,112557,0
Turks and Caicos Islands,3150234,0,57843,0,14220,0,226146,0,0,1623977,0,1227892,156,0
Syria,3014184,1443,120417,2349,0,0,14838,0,0,487536,0,1313177,1074424,0
Burundi,2794504,408607,5195,244781,0,0,0,0,0,1366066,0,292382,477473,0
,2732282,727996,168459,19203,472314,196428,874463,6418,0,4175790,901535,6303165,58800,0
Montenegro,2177222,0,446211,0,0,0,0,0,0,1370119,0,360892,0,0
Guam,2104044,140622,102499,0,0,0,714013,0,0,889375,2671,254864,0,0
Cape Verde,1754379,0,0,304395,0,0,0,0,0,404008,0,676618,369358,0
Djibouti,1735491,378955,169364,0,0,0,5000,0,0,740691,0,333381,108100,0
Faeroe Islands,1438943,0,111094,0,2235,444495,66578,0,0,814541,0,0,0,0
Somalia,1370361,18000,71820,0,0,0,0,0,0,1137752,0,142789,0,0
American Samoa,1357669,23482,1009911,7167,0,0,15760,0,0,298449,0,2900,0,0
Christmas Island,1298186,0,576059,54562,0,0,0,0,0,608008,0,59557,0,0
Tonga,1129365,0,0,0,0,0,0,0,0,865690,0,263675,0,0
Antartica,1112449,665362,0,0,0,0,0,0,0,447087,0,0,0,0
Saint Helena,1073441,0,33487,0,0,0,0,0,0,730963,0,256127,52864,0
Eritrea,1006332,106216,98970,0,0,0,0,0,0,788868,0,12278,0,0
Anguilla,1001812,0,129133,0,10875,0,110757,0,0,580455,0,170592,0,0
Gambia,978125,21200,216581,5625,0,0,172250,0,0,364067,0,198402,0,0
Comoros,855956,90001,0,19601,0,0,0,0,0,176777,0,569577,0,0
