Country,Canada,Alberta,British Columbia, Manitoba ,New Brunswick,Newfoundland,Nova Scotia,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
Dominican Republic,196145177,8420690,4231659,6379249,35022111,0,2218305,0,76142737,858966,52150450,10713768,0
Barbados,195465874,206924,1090739,651969,2379740,14180012,883916,0,18676172,1784183,155481015,23643,0
Qatar,189924648,9707695,7089114,742312,995018,323337,416378,0,53059959,241599,116981934,366232,0
Ghana,157340739,28368798,5918723,14678691,95286,216207,583292,0,54645460,419433,23650713,28736279,0
Costa Rica,152052014,29323890,15380099,9670118,17431920,0,233964,0,26808052,3208561,20025853,29955089,0
Ukraine,144633693,13253749,45953274,6630205,31650,6481601,2830003,0,27879131,50540,39588225,1929088,0
Kuwait,142995710,23509986,7614578,3152533,3330286,114838,377635,0,76192159,275709,21050374,7377122,0
Ethiopia,136899788,1033402,1066897,461059,9930,0,97777,0,78660714,6823,53445687,2117499,0
Oman (formerly Muscat and Oman),129843021,60088992,4047748,6552627,352489,0,1503091,0,34328863,0,10972681,11987281,9249
Kazakhstan,129627651,27275151,5026040,18240780,25991,111065,487686,0,25366321,0,51125354,1968576,0
Czech Republic,129505062,7015145,12833809,2001664,2943751,8386415,1752005,0,50130522,796404,42065219,1558967,0
Kenya,123810303,19057394,20052072,7809395,57007,0,521097,0,38217809,14076114,8415656,15603759,0
Jamaica,120694571,3791844,3024367,2496271,15713426,51129,4656928,0,49268500,1653717,36891209,2954239,0
Greece,116994065,7944389,1821066,1524245,967626,751823,1144456,0,69205614,35254,26124837,7461328,0
Guatemala,111828906,23812152,13164188,11598833,14583680,0,2024532,0,21227205,1958737,17967593,5063212,428774
Romania,108312234,13736826,54394200,1929647,116033,66511,227524,0,27304603,12578,10377812,145775,0
Bulgaria,97041837,244078,2934833,26287511,49549,43339711,6335,0,13917259,121449,5127098,5005365,8649
Panama,95450069,4418061,14982908,2012179,2852429,0,1397582,0,31566443,769736,30942241,6494800,0
Luxembourg,92670155,604267,2843971,30248,160000,66631,3602323,0,60822279,2697,24530735,0,0
Tunisia,91829280,9605303,6996472,641603,34141,21107,100374,0,6373509,108770,24354577,43593424,0
Hungary,91441811,6242446,2101474,1934598,70198,8816,53112,0,64708482,21791,14703306,1571637,0
Mozambique,90890452,25820647,1879458,14031355,0,293099,173709,0,11810478,3879785,5234312,27767609,0
Cyprus,87858905,2837383,384005,489359,2313,0,0,0,2393408,0,77250407,4489295,0
Lebanon,85179711,2051586,3556819,849837,766510,9391,697938,1100,34164366,40980,35527009,7497824,600
Angola,83209403,14773511,2314128,20995354,35741,123844,148688,13942,23872811,15029,13317999,7598302,0
Côte-d'Ivoire,83005098,3151316,2500213,1422731,113063,0,5000,0,33430074,32460,36205821,6140920,3500
Libya,82096367,10989020,203859,77766,15420,0,483888,0,33029550,525906,31520913,5250045,0
Jordan,78456413,2126461,11371778,1594199,443813,0,557290,0,32481566,543025,21613123,7706458,0
Lithuania,76484123,7403858,9109837,12570720,31783,1767747,373425,0,24476753,100898,14120811,6512414,0
Tanzania,73215342,11421411,4848763,5579524,70021,0,67046,0,30077671,2537722,7596820,11001212,0
Cameroon,67749647,20698317,1317873,8736481,6500,17344,1200,0,5708585,37187,7896478,23329682,0
Iceland,66290964,960144,1437136,494247,2507098,25953680,13893954,279653,4246615,3389542,13067256,59938,0
Iran,64774858,6306041,4334587,3651874,49848,0,4665186,0,8523732,0,29956687,7286903,0
Slovenia,62689437,28194,212514,3673608,25332,0,0,0,7757032,0,50904985,87772,0
Uruguay,58362800,7153958,2036594,4420170,1100499,0,3533453,0,20208563,991141,10039230,8878874,0
Bahrain,55985210,6718758,2162491,1195207,1427464,20915774,466297,0,12366725,1071111,9556535,102877,0
El Salvador,50174752,5104556,9370806,2157623,1295314,0,430125,0,6097294,70052,25380429,268553,0
Albania,48558768,44324622,304043,927450,24852,8,0,35000,1732198,0,980203,230392,0
Haiti,48233148,67663,243385,72078,14162386,0,617584,0,12867446,116590,18344753,1739019,0
Honduras,45062586,470587,1280763,854565,13720675,0,572773,0,14797819,183389,12705423,476111,0
Senegal,41491782,2989449,805792,2280656,19100,361083,4000,0,5369903,158,8517847,21143794,0
Bolivia,41218235,8211350,3011587,5953354,84012,33585,30360,0,9178901,71085,7322570,7321431,0
Azerbaijan,41082194,8302788,4383745,2512,0,0,815344,0,6836754,0,20741051,0,0
Bermuda,36490536,754298,463299,688575,2318298,18732,2009075,0,23834076,16320,6349335,38010,0
Chad,36468479,33416180,310072,617399,23913,0,0,0,1892325,0,208590,0,0
Slovakia,33814357,170836,7253330,837207,3614,56,12977,0,15401905,0,9983657,149224,0
Estonia,33032486,3053694,540369,4307228,184453,1847783,2015036,0,12626840,0,7962433,494650,0
Belarus (formerly Byelorussia),32883749,12724648,0,0,0,0,0,0,2623356,0,17535745,0,0
Uganda,32147017,2984497,3165026,8907923,0,0,57600,0,9727526,3425267,705275,3173903,0
Saint Pierre-Miquelon,32081715,22350,221136,16885,1516019,13726052,6776141,282,1285991,50486,8442513,2875,20985
Latvia,30940695,3032582,2101925,1035800,0,52805,234985,0,14211887,6664,10114132,149915,0
Benin,30542557,941765,4285021,162110,263506,114000,882140,0,18021231,0,5687936,184848,0
Congo (formerly Brazzaville),30047710,7706703,5655217,99914,23000,159362,99750,0,9080962,0,7144792,78010,0
Macau (Macao),29592368,1048229,11373211,0,54773,0,52200,0,12943664,0,4109959,4319,0
British Virgin Islands,29036570,34330,46205,0,95851,0,484918,0,866299,0,27372648,136319,0
Papua New Guinea,28919619,1903023,13105691,1251120,0,0,84317,0,2638887,8065218,1871363,0,0
Rwanda,28849157,1009876,15794,731911,0,0,108050,0,25232586,0,615276,1135664,0
Nicaragua,28142277,704970,5563192,35028,376686,0,359539,0,7088761,63388,11708363,2242350,0
Gabon,26941765,10203657,1704445,1311656,0,135128,46200,0,8432116,0,4883857,190277,0
Burkina Faso,26602791,258695,1105476,34948,0,3655,28088,0,4242691,645097,20278255,5886,0
Zambia (Zambi),26368650,1279237,4365146,139509,3467,0,834877,0,15328720,0,4409765,7929,0
Guyana,26112938,5375459,781354,879540,734135,0,35950,0,7805896,0,7384942,3115319,0
Congo (formerly Zaire),25190369,1719386,1896092,860088,140000,0,247000,0,13241525,8886,5677032,1393222,0
Seychelles,24535655,70580,14890631,0,0,0,74872,0,9310161,0,189411,0,0
Croatia,22771390,723284,4645698,300033,16255,6504,45624,0,7454502,11871,8479635,1087984,0
Paraguay,22327313,522908,656558,8115531,843425,69912,395126,0,5846399,0,5837017,40437,0
Yemen,22113770,4173154,644671,1922128,136564,0,97121,0,3572612,16500,3738592,7812428,0
Myanmar (Burma),21576776,4200434,3840066,978852,0,457487,485522,0,6822952,1332852,2529032,929579,0
Belize,21532196,14328452,291645,336455,1474410,0,50900,0,1218274,0,3832060,0,0
Maldives,18094988,6250705,8514232,0,6072,0,86445,0,1546116,818801,697993,174624,0
Togo,17818441,3815553,115617,2244128,23215,0,65851,0,3449389,1217451,2402347,4484890,0
Surinam,17700491,365205,297945,72392,1249283,0,233974,0,2283279,127,12515498,682788,0
Afghanistan,17360784,211622,5510826,83693,1001,0,0,0,7360419,2214556,1976482,2185,0
Serbia,16838284,2852125,616041,68019,111684,0,124611,0,9584799,14020,3383984,83001,0
French Polynesia,16799778,1525,2343326,149500,36905,0,13311,0,1152828,0,13102383,0,0
New Caledonia,16068413,0,1121551,3765,312232,0,93968,0,7284894,524,7251479,0,0
Armenia,15135679,16633,2705799,132044,0,0,0,0,10240080,46648,1385491,517853,0
Greenland,14682854,174290,1876995,0,0,4670425,579185,0,2848454,4026335,496451,0,0
Madagascar,14453912,3946997,2040984,0,1353411,0,0,0,4748869,0,2179950,183701,0
,14448110,727996,168459,19203,692229,196428,874463,0,4213493,1523529,6303214,58800,0
